|continent    |date      |cases_per_million|countries_in_continent|
|Oceania      |2020-03-16|5.7727866265     |24                    |
|South America|2020-03-16|0.9431874281     |14                    |
|Africa       |2020-03-16|0.2201715557     |57                    |
|Europe       |2020-03-17|74.9682086648    |53                    |
|             |2020-03-17|22.652047326     |12                    |
|Asia         |2020-03-17|22.2743785582    |49                    |
|North America|2020-03-17|7.3826842376     |41                    |
|Oceania      |2020-03-17|5.7727866265     |24                    |
|South America|2020-03-17|0.9431874281     |14                    |
|Africa       |2020-03-17|0.2201715557     |57                    |
|Europe       |2020-03-18|74.9682086648    |53                    |
|             |2020-03-18|22.652047326     |12                    |
|Asia         |2020-03-18|22.2743785582    |49                    |
|North America|2020-03-18|7.3826842376     |41                    |
|Oceania      |2020-03-18|5.7727866265     |24                    |
|South America|2020-03-18|0.9431874281     |14                    |
|Africa       |2020-03-18|0.2201715557     |57                    |
|Europe       |2020-03-19|74.9682086648    |53                    |
|             |2020-03-19|22.652047326     |12                    |
|Asia         |2020-03-19|22.2743785582    |49                    |
|North America|2020-03-19|7.3826842376     |41                    |
|Oceania      |2020-03-19|5.7727866265     |24                    |
|South America|2020-03-19|0.9431874281     |14                    |
|Africa       |2020-03-19|0.2201715557     |57                    |
|Europe       |2020-03-20|69.7428535484    |54                    |
|             |2020-03-20|22.652047326     |12                    |
|Asia         |2020-03-20|22.2743785582    |49                    |
|North America|2020-03-20|7.3826842376     |41                    |
|Oceania      |2020-03-20|5.7727866265     |24                    |
|South America|2020-03-20|0.9431874281     |14                    |
|Africa       |2020-03-20|0.2201715557     |57                    |
|Europe       |2020-03-21|69.7428535484    |54                    |
|             |2020-03-21|22.652047326     |12                    |
|Asia         |2020-03-21|22.2743785582    |49                    |
|North America|2020-03-21|7.3826842376     |41                    |
|Oceania      |2020-03-21|5.7727866265     |24                    |
|South America|2020-03-21|0.9431874281     |14                    |
|Africa       |2020-03-21|0.2201715557     |57                    |
|Europe       |2020-03-22|219.5179240945   |54                    |
|North America|2020-03-22|56.4029080067    |41                    |
|             |2020-03-22|48.1319347425    |12                    |
|Oceania      |2020-03-22|26.3549912523    |24                    |
|Asia         |2020-03-22|25.5890989218    |49                    |
|South America|2020-03-22|7.3028346978     |14                    |
|Africa       |2020-03-22|0.9374820701     |57                    |
|Europe       |2020-03-23|219.5179240945   |54                    |
